Comment_Title,Review
Fake handsetset received,Im facing some speaker related issues and had given my handset XR 64 Gb in service center they denied to repair the same stating that the handset is fake and not valid for any warrenty
"got at ₹49,900 but do i wasted my 50k?? ABSOLUTELY NO!","there are two angles from which smartphones are generally looked. and i will be very honest in this review so that a genuine user can understand if he really wants apple!the first angle is -  SHOW OFF PURPOSE! here price doesn’t matter to most of the people and they should not need to read any reviews or any other thing about smartphone, just go and buy any latest iPhone. no one is even near to apple when it comes to brand value. i have written that price doesn’t matter because if price really mattered to you than you would have never thought of wasting money on showing-off!the second angle is - SOFTWARE AND PRIVACY PURPOSES. here u are sure that u don’t need an android, u want apple and the only reason u are checking XR rather than XS or XS MAX is that u can’t afford them and u want value for money. let me tell you straightforward, any iPhone will never offer you value for money. especially to us (indian consumers) and the kind of market we are witnessing in last couple of years, the aggressive pricing from xiaomi, realme (my personal best) etc. will never let us fell that iPhone is value for money. the truth is there is no second angle, the people who says that they use iPhone for privacy are 90% liars. i agree that 10% who are very rich and really need to secure their mobile can mean it. and here i don’t mean that that they cant use android. but from point of view of common public, it’s absolutely rubbish to think iPhone is any better. their is not much difference between android and ios when it comes to security and privacy. people just purchase it for the first angle which i mentioned (show-off) but need a reason so that they can convince themselves and others that they didn’t wasted their money by purchasing such an expensive smartphone!now coming specifically to iPhone XR. let’s start with price! it’s apple and by no means i will try to justify it’s actual price which is about around 76k and even after price cut it is around 60k. but on prime day sale i got it worth 50k which was superb considering it’s actual price but the question is, in the era of xiaomi, one plus is it still worthy to spend 50k on the smartphone which is not even considered as premium. as u know that this is the cheapest iPhone of it’s generation. and to tell you further, i am sure after release of iphone 11 price will get reduced and come around 50k because that’s what prime day sale price hinted to us!so, still i have given it 5 stars and i don’t feel that i have wasted my money. why?? the sole reason is, as i told earlier - SHOW-OFF. there is allmost nothing that iPhone is offering me and android can’t and this, i am telling u after two months of switching from android to ios! this is very important thing you should know before switching to iPhone. don’t convince urself to purchase an iPhone just for security purposes and all that lie which is in market to make you believe that iPhone is extravagant. android and ios are equally better, atleast for common consumers! when it comes to iPhone, everything boils down to show-off. if you want to show-off purchase it. i am not saying that anything is wrong in it. i also purchased it for show-off. THANKS."
Pathetic Apple and IPhone Review,I had taken the phone but the phones holds too many defects and issues. When we talk the mouth pice is not that precise to hold you voice creaky the voice is not audible if the phone is even partially away from your chin/mouth.
Disappointment for an iPhone,This is a product which lets down the whole high end feel of an iPhone. Apple has packed in a very sophisticated software hardware system in a rather disappointing design and the phone is bulkier and heavier than any of its competition in the market. The premium feel of the product is completely let down and left to enjoy is a good software interface of ios and an excellent camera. Overall a cheap buy for an apple lover but for a first time user the phone is totally let down.
Go for XR if you confused between X and XR,All in all an amazing product yet again from Apple. I know many people are confused wheather to go for an apple X or Xr. Well to be frank i suggest XR purely because of the fact that XR will have 1yr more support from Apple in respect to X.  Other than that the dual camera of X and single camera of XR have the same quality. As far as speed goes both are same. Xr is dual sim but you gotta understand you can insert just 1 sim. The 2nd sim is an eSim which needs to be activated by Telecom service providers. Theres not much difference in display as well. All in all XR rules
Problem with Dual SIM,"iPhone XR is excellent there is no doubt about this. This first time my iPhone experience. Its great experience. But I am very unhappy about the dual sim performance (May be solved the problem).I have Airtel e-sim its working fine. But my JiO physical sim did not show any VOLTE option. I have called to Jio customer care, they said my iPhone doses not support VOLTE. But the same SIM works in VOLTE mode  in my android device (Rs. 12K phone) I did not get any help from Apple still now. I have search several option from online and you tube but could not fix it. If this problem is serious, so why I need such premium phone of worth Rs. 50K more.I would be happy if any I Phone XR user can help me regarding this."
Nice Phone,"Using around a week now. It’s snappy fast. Power efficient. Gives a back up of a whole day on average use. It has a single but impressive rear camera. Selfie camera is excellent. Low light performance is average though. The phone is bulky, Heavy, weighing more than 190 grams. You surely need to use a protective case to protect Camera bump and glass on both sides. Display is crisp."
Smooth as Butter,"Smooth as butter, no lag and awesome display with superb camera..Just the perfect phone"
Awsome Product by Apple,This is by far the best smartphone i have ever owned.I bought this phone after watching so many reviews in the youtube and all other places.I am seriously in love with this phone.And this is genuine apple product provided by Amazon.I was scared to buy this online but as usual amazon provides u the best product available.Thr camera is best not as best as Xs or X but it is much better tha many single camera flagships.Battery life is execellent as i didnt expect it to be this better i charge in the morning and i use it till next day and still 40 to 50% is there but that depends on your usage.The potrait mode only works with only humans and not objects or animals this might be minus as pixel offers u much better experience for potrait.By far its  really tye best phone to own.I was using android for all this years i wanted a change and didnt knew that i would love ios so much.Its easy to use its better in every way. ❤❤
Disappointing in many ways,Has many drawbacks. Apps developed for iPhone by Indian Companies aren’t good at all. You can’t even do a normal Tatkal booking as irctc app unavailable. No dual Whatsapp so one number is wasted. No dual Facebook as well. Maximum 5gb cloud backup storage limit. Apps get refreshed more frequently and better enhancements on android. No features to search apps easily. Wifi once disconnected loses auto join features. Maximum 100 call records that’s very very annoying. Difficult to set primary and secondary sims in sms. Some Whatsapp features missing.Faceid rear camera and battery life good. Front camera is of inferior quality. Very heavy and display is of inferior quality. Cracking noise when on speaker. Overall not a good investment of rs 59000
Worst camera,Poor Front camera cannot take photo with light at background (photo attached)Heating rapidlyBattery doesn’t reached 100% even after 3.5 hrs chargingI will check for next 2-3 days and return for sure
Awesome Phone,"A Perfect Phone with a great camera, great performance, Great look, Great Battery life and a good Display. Worth the trade off. Perfect size"
Tampered shipment & product,This Appario seem to be a fraud. My shipment has been smartly tampered and the have managed to overcome the security features. Even iPhone package back label have been tampered. Amazon Customer Care on phone or Twitter is of no help. I need to return this and get a replacement.
Battery life is spectacular,"I have bought it during prime sales , aside from discount i have bought it by paying just 36kBiggest con is they are not providing you a fast charger with this premium segment .Biggest pro is the battery life which will provide you 9-10 hours screen on time with heavy use with all the time internet usage ."
Disappointed !!!,"This is my first phone from Apple. I was in confusion in buying between pixel and iphone. Even though pixel is far superior than apple in all departments, I went for iphone due to craziness. The product is well packed and delivered. When I started using the phone, the screen looks average, battery is good and the hardware seems good. The camera disappoints me al lot. Never expect this from Apple. In particular, the front camera is worst, in indoor lightning conditions and can see dots in image like a VGA camera.  At a cost of 60k, I was more so curious about the camera. It disappoints me badly. Even my motorola camera works well. If you are crazzy for the brand, go for it. Else definitely, you can go for other models in the market."
Worthy buy,Extremely easy to use. Good specifications.
Just don’t buy it from amazon totally waste of money., Iphone is good but probably I have received a defective piece from amazon as I am facing issues with software. Further never heard a iphone to be hanging issue but I am facing the same and attached a video regarding it. Within a month I have to visit customer care and still facing issues. Very worst experience don’t buy it from amazon.
Amazing phone! iOS makes it worth the money! Delivered 3 days late by the seller.,"Best iPhone I’ve used. Sold my one plus 6 and got this one. The screen is not an OLED so you miss out on deep blacks and saturation. But I noticed the colours are better than the older iPhones with LCD. It also has thick bezels which take some time to get used to. An OLED screen on this would’ve been wonderful but apple being apple wont do that!When it comes to software, iOS is simple the best. You get a lot less features but almost everything works smooth and perfect unlike android. My old phone had a ton of features like gesture controls which rarely ever worked. There’s a lot of attention to detail in small bits like animations and haptic feedback in iOS. Daily used apps like whatsapp, Facebook, Twitter, Reddit have better optimisation than android. Introduction of haptic feedback feels very natural in  these apps This makes it feel premium. Also iOS is miles ahead than android when it comes to touch response and software understanding. I can type twice as fast on this than android phones. The phone is clever enough to understand unintentional touches on the screen. These things used to annoy me a lot on android. This is one of the main reasons I switched back to iPhone. Typing on iOS is way better no matter which keyboard app you get from play store. Also, Gesture navigation is very smooth. Nothing comes close.I really like how apple has designed the software to handle the notch. Surprisingly the notch on this doesn’t bother me as much as the one plus 6 did, even though it is much larger in size. It’s mainly because they didn’t try to cram it with a dozen icons.Well balanced stereo speakers are a good addition to the phone. You get true stereo imaging without any ear fatigue in just one ear over long period of usage.Camera is one of the best you get in the market right now though pixel 3 takes better pictures in low light. Video shooting is the best on any phone. Camera is the same as iPhone XS without optical zoom and taking portrait of objects or pets. Portrait mode only works for human faces.Battery life is great. Easily lasts me more than a day. In fact it’s better than iPhone XS and XS Max. There’s no fast charging but I’m fine with it since I charge my phone over night.There is no 3D Touch on this one but they’ve added haptic touch which covers control centre toggles, moving the cursor on keyboard and lock screen actions. Only thing you’re missing out on is shortcuts on home screen and peek and pop.Dual sim seems to work fine. Been using Vodafone and Jio (e sim)Build quality seems alright. I would recommend getting a sturdy case since the phone is covered in glass.Overall it’s an amazing phone. It is a lot more expensive than phones like one plus, pixel 3a, galaxy s10e and has less specs to offer on paper but the software makes up for it. The price you’re paying is for the unmatched software integration.If you’re coming from an old iPhone, go for it! You won’t be disappointed!If you care more about an OLED screen, portrait mode for pets and objects and 3D Touch, go for iPhone XS or XS Max. Personally I don’t think they are worth 40-50k extra for just these 3 features."
The Best Choice !,"Like every time, Apple has again mesmerised me with it’s great creation iPhone XR. The best part in this is when you unbox your brand new iPhone. It comes with an earpod, and a Fast charger. I understand that the price might be a bit high but trust me, it’s worth it. The camera has the best feature within it. Everyone says that it’s an LCD screen but you’ll nit be able to differentiate just by looking at the screen. The phone performance  is more faster now. And last but not the least, I am really impressed with the battery back up time. It really lasts. Full charge at 10 am and then the whole day on Cellular Data, I have played PES2019, played some songs from YouTube Music, hovering on Whatsapp, Instagram, Facebook and clicked some good photos. When i came back home at 11 o’clock, i still had 66% charge. That’s what we needed in an iPhone.In a nutshell, I would say go for it if you have lessened your budget a bit, because it’s one of the best apple iPhones I have used and would also like to thank Amazon for such a superbbb service 👍🏻"
"Most Beautiful, Fast and Stylish iPhone, I've ever Had..","Most Beautiful, Fast and Stylish iPhone, I've ever Had.."
Go for iPhone XR 256GB!,"A lot of criticism of iPhone XR has been about its inability to take portrait pics of “only human faces!” Though true, it can be very easily overcome by downloading a software app - “Halide!” That and the near negligible difference in viewing experience, puts it on par with iPhone XS and even XS Max! Just go for it— the 256 GB storage version!"
Best iPhone till date,Been a iPhone user always. Upgraded to iPhone XR from iPhone 6 and I have no regrets. Just love the ease that face recognition brings in... freedom that 128GB memory brings in... and of course peace of mind that Apple brand name brings in.
Prices have fallen by rs 10000 in 3 days after I bought my phone. I feel terrible.,Prices have fallen by rs 10000 in 3 days after I bought my phone. I feel terrible.
faulty product sent,the phone wont turn onthis is insane
Pathetic service from Amazon,Faulty product delivered and Amazon not giving replacement. Cheating with customer and just making money by scam and defective product delivery. Phone is not usable as display stop working randomly and screen freeze suddenly. I have provide problem video also to Amazon within 10 days of replacement but Amazon just making money and cheating with customer.
"Fast, long battery hours","Super fast performance, long battery hours, little heavier than iphone 7 plus. Overall good phone."
Superb price thanx to amazon,"First off, the battery life is INCREDIBLE! This is the first phone I have used where I can get two days of use on one charge! I would regularly charge the phone overnight one night, then go to bed at midnight with 55-60% left the next night, leave it unplugged, and finish the next day at midnight with around 2-5%. The size of the phone was just just about perfect for holding/scrolling with one hand, and I usually wear men’s size medium gloves for reference.The notch didn't bother me when using the phone for basic functions, but was annoying when watching videos; and I was a lot of videos on my phone, so that was kinda a deal breaker. It’s not that the notch bothered me by covering content, but rather the aspect ratio was based off the bottom of the notch instead of the top of the screen, so 18:9 aspect ratio videos either always had gaps around the notch, or they were cut off when zoomed to fit; 16:9 videos obviously didn’t fill the screen nicely either and made for a viewing experience closely resembling that of the older small iPhones. I also didn’t like the 18:9 aspect ratio in general as most videos I watch are still in the more common 16x9 aspect ratio.Face ID was very cool when logging into apps and websites that use password, but it wasn’t very consistent when unlocking the phone in the mornings (when half my face was shoved into a pillow and I looked like hell), when the phone was oriented sideways, or when the phone was lying on the table; ultimately, I reverted to turning off the security entirely. At that point, the notch became even more of an annoyance, since I wasn’t using Face ID; however, I did not use Touch ID on older iPhones either. With that being said, I do like Face ID better than Touch ID of previous iPhones.Another downside to the iPhone XR is the resolution. While the screen is indeed VERY nice to look at, the resolution was less that I would prefer. I would not have noticed the lower resolution of the screen if I had not been comparing it next to the iPhone 8 Plus. The problem is not with the screen itself, but that some apps had downsampled the display to 720p, instead of 1080p, which was very noticeable. I would say the iPhone XR screen is better looking than the iPhone 8 Plus in terms of producing deeper blacks and slightly better colors, and the lower resolution isn’t noticeable except for some apps as previously mentioned. Overall, the iPhone XR is and awesome but, and I recommend it, but I ended up returning it for the iPhone 8 Plus simply for the wider screen with 16:9 aspect ratio, and higher resolution.Thanx to amazon for the speedy delivery and price"
It is heavy weight phone,It is heavy weight if u use more ull feel it hard to hold on regular note!As compared to every flagship phone in market
Bad quality/performance,"There have been multiple issues faced since started installing and restoring from icloud. Gets hanged/stuck, suddenly WiFi gets disconnected and doesn't get connected till restart, deteriorated network speed on usage of the data.....Is it a refurbished product?"
Xcellent phone,"Got this phone for offer price. Everything is great from packing to delivery. Display quality is very good. Dual sim option is very good, got esim from airtel"
ok,You will always feel cheated after buying an iPhone. It will get cheaper by every next 2-3 months.It's been 4 months and I paid 17k extra considering today's price
Got an original iphone delivered within a day,So- After reading a lot of reviews about the seller- Apporio retail delivering fake/refurbished apple products I was quite worried after I had placed the order with Amazon. Though I have in the past bought 3 iphones from Amazon without a problem there were just too many comments about the retain partner. To my relief the product (it was delivered today )was authentic. I checked the Imei code on the apple website and also the warranty is mentioned in the phone in the settings option. It was delivered before the time specified so I am quite happy with the service.About the phone- I upgraded from an iphone 6- so this phone is much bulkier than the other iphones I have had. Its a heavy phone with a big screen. Rest all is as per iphone features. Battery life seems to be better than the previous phones I have had. Camera is okay. I wish I had seen the phone before ordering since its much bigger than what I expected. Its not as nice looking as the other iphones but I guess performance wise it should be okay.
Review after using for 1 year,"Phone is really amazing. It’s been nearly one year since I’m using this, and phone is very good,Built quality: 10000000/10... build quality is awesome, I was taking a video and I dropped my phone from car in speed of 160kmph and when I took it back I wasn’t expecting what I saw. Nothing happened to phone just the screen guard was In Pieces, there is just a dent on side of body and not even a single scratch to screen. Although it was the back case which saved the phone but still the phone is very tough, as nothing happened to my speakers or microphone. Both work perfect And phone too.Camera quality: 10/10... Camera is also very good, but keep in mind it has only digital zoom and photo may pixelate when you zoom, this camera is the best but only if you used it without zooming.Speed: 9/10 nothing much to say. Just sometimes some applications get laggy and then I have to close it and open again other than that’s it’s good.Face ID: 10/10 works perfect as it shouldSpeakers: 10/10 works perfect, it has got two speakers, one at the bottom and one near the receivers and both work great as it creates a stereo effect.Overall it’s 10/10"
Never mind the negative reviews- used review- Excellent phone.,"I have been using this phone for a while now. When I decided to buy this phone I checked on negative reviews first and after buying thought of using it first and then give a feedback. This is the perfect Phone with all advanced features for a normal user, which is worth for the price. Moving unto the flaws seen on the feedbacks, most of them complaining about the display being low resolution and LCD. In my opinion you won’t spot any difference with other iPhone displays. Another thing I’ve seen than lot of people complaining about the single camera, however, the picture quality you get will amuse you.In short, with apple’s latest A12 bionic chip processor and 3GB RAM this phone provides an excellent performance.Moreover, regarding to the comments that you will get a duplicate or refurbished product from Amazon, I checked with my serial number to apple’s website my phone is new and genuine. I received this product from Appario ltd nicely packed and with all seals so there’s no matter of doubt.Overall I would recommend this phone to new users, being an Apple user since 2010 this phone (iPhone XR 128GB) is another masterpiece from Apple. It has excellent battery backup as well."
The iPhone XR is the best iPhone to upgrade to if you own an iPhone 8 or older model.,"In my initial review, I said that the iPhone XR was the best iPhone for most people right, and my thoughts about it haven't changed six months later. This is still the best iPhone in the market, offering the same smooth and terrific user experience as the more expensive iPhone XS and XS Max, but with the knowledge that you're also getting the best battery life. In fact, the battery life is at par, if not better, to what the P30 Pro and the Galaxy S10+ offer and that's saying something.The iPhone XR is the best iPhone to upgrade to if you own an iPhone 8 or older model. With its price dropping to Rs 60,000, this is probably the best time to buy the iPhone XR, whether you are an existing iPhone user or making the switch from an Android phone. With a phone that is full of compromises, the only real compromises that you will have to make is with low-light photography and a slightly lower resolution display. For everything else, the iPhone XR is as good as they come."
Amazing iPhone with great offer from Amazon,"Bought this during Prime sale. I love to use Apple products because of its simplicity. I was using iPhone 6 and thought of updating. While the XS and XS Max are more than a Lakh in India, iPhone XR is bang for the buck. The prime day deal was more sweet and surprise to me. The operation and touch responses are silky smooth. Dual Sim with the eSIM works like a charm. Rear camera is awesome with face detection AI Bookeh in Portrait mode. Screen resolution is very good and crisp without any pixel issues. It lacks 3D Touch but Apple incorporated Taptic Engine which will be updated to replace 3D Touch functionality eventually (though some are present now, it is limited). Some APPs are not good in the notch area though but it is ok to manage. Overall a nice update."
Good phone with lot of cons but still flagship,There are many pros about this phone which you must be already aware of . I would like to point out at cons1. Screen is too small for PUBG game/ movie watching experince2. Slow motion recording is not good under artificial lighting3. Need to buy fast charger(extra bucks)4. Back glass is not scratch resistant easily scratchable if you use cheap covers.5. Too many bugs in current ios 136. Call connection problem
"In this price of 45000, its the best choice for long term","Camera superbBattery amazing, came with 58%, after 9 hours still at 43%, average usagebuilt is solid, love the aluminium framestereo speaker is boom boomface id too quick after ios 13.1was using oneplus 7 earlier, playing pubg on this is way betterusing 12w adaper to charge, bought separately from amazon, 0 to 100 in 1:30A12 bionic chip handles everything smoothlyLove the stability and privacy at the same time"
Face ID and front camera portrait mode isn't working just after 3 months of purchase.,Face ID and front camera portrait mode isn't working just after 3 months of purchase. It must be a problem of true depth sensor. My city (Imphal) apple servicing centre doesn't allow me to take for servicing and tells me to go to Guwahati (Assam) for this problem. May be a coincidence because this problem happened when I used amazon basics 10w fast wireless charger which I combine with xiaomi quick charge 3
Best iPhone Ever!,"Best iPhone ever..every penny worth!  Amazing touch & feel. & the best thing you gonna love in this iPhone is superb camera, excellent battery life & dual sim features.Before buying i was really worried abt all these things after reading the reviews..but trust me guy’s don’t go with review..go for it..it’s really a wow premium phone.!!I would also like to say thanks to Amazon & the seller - Appario Retail Private Ltd(Best seller on Amazon) for this excellent product & world class service."
